Time		Price	Change	C%	BVol	Buy	Sell	SVol	LP	HP
[09:54:28] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[12:03:34] 	2.580	+0.050	+2.0	494	2.570	2.580	533	2.600	2.560
[12:04:39] 	2.580	+0.050	+2.0	344	2.570	2.580	476	2.600	2.560
[12:05:21] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[12:06:45] 	2.570	+0.040	+1.6	390	2.570	2.580	474	2.600	2.560
[12:07:55] 	2.570	+0.040	+1.6	393	2.570	2.580	478	2.600	2.560
[12:09:07] 	2.570	+0.040	+1.6	395	2.570	2.580	478	2.600	2.560
[12:10:18] 	2.570	+0.040	+1.6	392	2.570	2.580	475	2.600	2.560
[12:11:30] 	2.580	+0.050	+2.0	392	2.570	2.580	470	2.600	2.560
[12:12:34] 	2.580	+0.050	+2.0	392	2.570	2.580	471	2.600	2.560
[12:13:16] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[12:15:11] 	2.580	+0.050	+2.0	369	2.570	2.580	177	2.600	2.560
[12:16:32] 	2.580	+0.050	+2.0	370	2.570	2.580	174	2.600	2.560
[12:17:37] 	2.580	+0.050	+2.0	370	2.570	2.580	167	2.600	2.560
[12:18:40] 	2.570	+0.040	+1.6	358	2.570	2.580	179	2.600	2.560
[12:20:48] 	2.570	+0.040	+1.6	359	2.570	2.580	179	2.600	2.560
[12:21:57] 	2.570	+0.040	+1.6	361	2.570	2.580	185	2.600	2.560
[12:23:01] 	2.570	+0.040	+1.6	360	2.570	2.580	185	2.600	2.560
[12:26:48] 	2.570	+0.040	+1.6	383	2.570	2.580	386	2.600	2.560
[12:28:01] 	2.580	+0.050	+2.0	382	2.570	2.580	182	2.600	2.560
[12:30:10] 	2.580	+0.050	+2.0	378	2.570	2.580	178	2.600	2.560
[12:31:29] 	2.580	+0.050	+2.0	20	2.580	2.580	186	2.600	2.560
[12:32:33] 	2.580	+0.050	+2.0	67	2.580	2.580	186	2.600	2.560
[12:33:36] 	2.580	+0.050	+2.0	1	2.680	2.580	186	2.600	2.560
[12:36:36] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[12:37:52] 	2.580	+0.050	+2.0	1	2.680	2.580	186	2.600	2.560
[12:44:27] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[12:46:03] 	2.580	+0.050	+2.0	1	2.680	2.580	186	2.600	2.560
[12:48:32] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
