Time		Price	Change	C%	BVol	Buy	Sell	SVol	LP	HP
[09:56:59] 	14.980	-0.100	-0.7	3	14.960	14.980	3	15.040	14.720
[13:41:56] 	15.460	+0.380	+2.5	24	15.760	15.000	2	15.700	14.720
[13:45:24] 	15.460	+0.380	+2.5	32	15.760	15.000	2	15.700	14.720
[13:55:21] 	15.460	+0.380	+2.5	24	15.760	15.000	2	15.700	14.720
[13:59:01] 	15.520	+0.440	+2.9	5	15.500	15.520	3	15.700	14.720
[14:00:14] 	15.560	+0.480	+3.2	13	15.540	15.560	1	15.700	14.720
[14:01:32] 	15.540	+0.460	+3.1	8	15.540	15.580	12	15.700	14.720
[14:02:51] 	15.540	+0.460	+3.1	10	15.540	15.560	2	15.700	14.720
[14:04:59] 	15.560	+0.480	+3.2	9	15.520	15.540	4	15.700	14.720
[14:07:21] 	15.540	+0.460	+3.1	15	15.520	15.540	1	15.700	14.720
[14:10:00] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[14:15:37] 	15.540	+0.460	+3.1	18	15.520	15.540	3	15.700	14.720
[14:17:00] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[14:34:31] 	15.580	+0.500	+3.3	2	15.560	15.580	3	15.700	14.720
[15:26:16] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[15:41:44] 	15.300	+0.220	+1.5	11	15.280	15.300	3	15.700	14.720
[16:02:11] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[16:21:59] 	14.860	-0.220	-1.5	21	14.840	14.860	6	15.700	14.720
[16:24:12] 	14.820	-0.260	-1.7	31	14.800	14.820	5	15.700	14.720
[16:32:37] 	14.720	-0.360	-2.4	52	14.700	14.720	19	15.700	14.720
[16:34:29] 	14.640	-0.440	-2.9	10	14.640	14.680	14	15.700	14.620
[16:36:08] 	14.720	-0.360	-2.4	5	14.720	14.760	1	15.700	14.620
[16:37:56] 	14.800	-0.280	-1.9	6	14.800	14.820	7	15.700	14.620
[16:39:46] 	14.880	-0.200	-1.3	5	14.840	14.900	13	15.700	14.620
[16:41:17] 	14.880	-0.200	-1.3	2	14.860	14.880	5	15.700	14.620
[16:42:40] 	14.880	-0.200	-1.3	10	14.860	14.880	13	15.700	14.620
[16:44:29] 	14.860	-0.220	-1.5	6	14.840	14.860	17	15.700	14.620
[16:45:46] 	14.820	-0.260	-1.7	15	14.800	14.840	13	15.700	14.620
[16:47:23] 	14.800	-0.280	-1.9	14	14.800	14.820	15	15.700	14.620
[16:49:03] 	14.800	-0.280	-1.9	4	14.800	14.820	19	15.700	14.620
[16:50:59] 	14.740	-0.340	-2.3	9	14.720	14.740	7	15.700	14.620
[16:52:47] 	14.600	-0.480	-3.2	8	14.580	14.600	10	15.700	14.580
[17:23:15] 	14.740	-0.340	-2.3	48	14.700	14.740	16	15.700	14.580
[17:29:42] 	14.740	-0.340	-2.3	48	14.700	14.740	16	15.700	14.580
[17:31:06] 	14.740	-0.340	-2.3	48	14.700	14.740	16	15.700	14.580
[17:31:47] 	14.740	-0.340	-2.3	48	14.700	14.740	16	15.700	14.580
[17:35:48] 	14.740	-0.340	-2.3	48	14.700	14.740	16	15.700	14.580
[17:36:16] 	14.740	-0.340	-2.3	48	14.700	14.740	16	15.700	14.580
[17:38:39] 	14.740	-0.340	-2.3	48	14.700	14.740	16	15.700	14.580
[17:44:06] 	14.740	-0.340	-2.3	48	14.700	14.740	16	15.700	14.580
[17:51:06] 	14.740	-0.340	-2.3	48	14.700	14.740	16	15.700	14.580
[17:52:14] 	14.740	-0.340	-2.3	48	14.700	14.740	16	15.700	14.580
[17:52:54] 	14.740	-0.340	-2.3	48	14.700	14.740	16	15.700	14.580
[17:53:38] 	14.740	-0.340	-2.3	48	14.700	14.740	16	15.700	14.580
[17:55:19] 	14.740	-0.340	-2.3	48	14.700	14.740	16	15.700	14.580
[18:01:48] 	14.740	-0.340	-2.3	48	14.700	14.740	16	15.700	14.580
