Time		Index		Change
[10:02:04] 	<td>		</td>
[14:46:50] 	2,270.99		+25.72
[14:47:36] 	2,268.56		+23.29
[14:48:42] 	2,268.33		+23.06
[14:49:36] 	2,268.46		+23.19
[14:50:41] 	2,269.28		+24.01
[14:51:38] 	2,270.80		+25.53
[14:52:37] 	2,270.16		+24.89
[14:53:48] 	2,271.01		+25.74
[14:54:38] 	2,272.10		+26.83
[14:55:45] 	2,273.14		+27.87
[14:56:41] 	2,272.18		+26.91
[14:57:40] 	2,273.17		+27.90
[14:58:39] 	2,273.27		+28.00
[14:59:39] 	2,272.94		+27.67
[15:00:38] 	2,272.61		+27.34
[15:01:37] 	2,273.27		+28.00
[15:02:37] 	2,271.94		+26.67
[15:03:38] 	2,273.59		+28.32
[15:04:38] 	2,274.38		+29.11
[15:05:37] 	2,275.95		+30.68
[15:06:40] 	2,275.57		+30.30
[15:07:39] 	2,276.28		+31.01
[15:08:45] 	2,276.27		+31.00
[15:09:38] 	2,275.57		+30.30
[15:10:39] 	2,276.00		+30.73
[15:11:36] 	2,276.07		+30.80
[15:12:41] 	2,276.12		+30.85
[15:13:37] 	2,274.95		+29.68
[15:14:41] 	2,275.70		+30.43
[15:15:41] 	2,275.42		+30.15
[15:16:36] 	2,274.74		+29.47
[15:17:40] 	2,275.26		+29.99
[15:18:39] 	2,272.88		+27.61
[15:19:40] 	2,273.17		+27.90
[15:20:37] 	2,274.04		+28.77
[15:21:42] 	2,274.42		+29.15
[15:22:39] 	2,274.74		+29.47
[15:23:47] 	2,274.59		+29.32
[15:24:39] 	2,274.67		+29.40
[15:25:39] 	2,274.35		+29.08
[15:26:38] 	2,275.09		+29.82
[15:27:38] 	2,276.10		+30.83
[15:28:40] 	2,272.78		+27.51
[15:29:39] 	2,273.99		+28.72
[15:30:37] 	2,272.21		+26.94
[15:31:41] 	2,267.89		+22.62
[15:32:36] 	2,267.93		+22.66
[15:33:41] 	2,270.03		+24.76
[15:34:37] 	2,269.51		+24.24
[15:35:38] 	2,268.73		+23.46
[15:36:42] 	2,269.28		+24.01
[15:37:39] 	2,267.22		+21.95
[15:38:36] 	2,267.71		+22.44
[15:39:40] 	2,268.78		+23.51
[15:40:40] 	2,269.32		+24.05
[15:41:40] 	2,268.01		+22.74
[15:42:39] 	2,269.93		+24.66
[15:43:40] 	2,269.50		+24.23
[15:44:39] 	2,268.57		+23.30
[15:45:41] 	2,267.74		+22.47
[15:46:41] 	2,268.10		+22.83
[15:47:36] 	2,267.18		+21.91
[15:48:40] 	2,268.17		+22.90
[15:49:40] 	2,266.77		+21.50
[15:50:40] 	2,267.41		+22.14
[15:51:41] 	2,265.87		+20.60
[15:52:36] 	2,262.89		+17.62
[15:53:37] 	2,261.65		+16.38
[15:54:39] 	2,263.35		+18.08
[15:55:38] 	2,262.56		+17.29
[15:56:39] 	2,262.31		+17.04
[15:57:39] 	2,262.96		+17.69
[15:58:37] 	2,262.33		+17.06
[15:59:36] 	2,264.35		+19.08
[16:00:37] 	2,264.86		+19.59
[16:01:37] 	2,264.24		+18.97
[16:02:41] 	2,263.66		+18.39
[16:03:40] 	2,263.80		+18.53
[16:04:40] 	2,263.90		+18.63
[16:05:39] 	2,264.51		+19.24
[16:06:37] 	2,265.29		+20.02
[16:07:38] 	2,264.86		+19.59
[16:08:36] 	2,265.71		+20.44
[16:09:37] 	2,264.82		+19.55
[16:10:40] 	2,265.95		+20.68
[16:11:38] 	2,266.43		+21.16
[16:12:41] 	2,266.59		+21.32
[16:13:39] 	2,264.79		+19.52
[16:14:37] 	2,264.26		+18.99
[16:15:38] 	2,266.15		+20.88
[16:16:41] 	2,265.92		+20.65
[16:17:38] 	2,266.39		+21.12
[16:18:40] 	2,266.12		+20.85
[16:19:38] 	2,265.52		+20.25
[16:20:38] 	2,265.38		+20.11
[16:21:41] 	2,265.76		+20.49
[16:22:37] 	2,266.81		+21.54
[16:23:40] 	2,265.77		+20.50
[16:24:37] 	2,267.14		+21.87
[16:25:36] 	2,267.58		+22.31
[16:26:38] 	2,267.83		+22.56
[16:27:37] 	2,266.77		+21.50
[16:28:37] 	2,266.21		+20.94
[16:29:41] 	2,266.81		+21.54
[16:30:41] 	2,267.88		+22.61
[16:31:39] 	2,268.33		+23.06
[16:32:37] 	2,267.97		+22.70
[16:33:39] 	2,267.70		+22.43
[16:34:40] 	2,268.72		+23.45
[16:35:37] 	2,268.35		+23.08
[16:36:40] 	2,267.10		+21.83
[16:37:37] 	2,266.95		+21.68
[16:38:40] 	2,267.24		+21.97
[16:39:40] 	2,267.99		+22.72
[16:40:38] 	2,268.20		+22.93
[16:41:39] 	2,267.38		+22.11
[16:42:36] 	2,266.97		+21.70
[16:43:41] 	2,267.49		+22.22
[16:44:39] 	2,267.87		+22.60
[16:45:37] 	2,268.67		+23.40
[16:46:41] 	2,267.37		+22.10
[16:47:39] 	2,268.56		+23.29
[16:48:39] 	2,268.41		+23.14
[16:49:36] 	2,268.63		+23.36
[16:50:38] 	2,267.29		+22.02
[16:51:40] 	2,268.51		+23.24
[16:52:40] 	2,268.01		+22.74
[16:53:38] 	2,268.67		+23.40
[16:54:40] 	2,267.87		+22.60
[16:55:42] 	2,268.24		+22.97
[16:56:38] 	2,269.84		+24.57
[16:57:41] 	2,267.74		+22.47
[16:58:39] 	2,268.49		+23.22
[16:59:37] 	2,267.32		+22.05
[17:00:46] 	2,266.17		+20.90
[17:11:40] 	2,267.46		+22.19
