Time		Price	Change	C%	BVol	Buy	Sell	SVol	LP	HP
[09:51:08] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[15:02:00] 	8.400	+0.270	+3.3	131	8.390	8.400	31	8.420	8.150
[15:03:09] 	8.400	+0.270	+3.3	129	8.390	8.400	34	8.420	8.150
[15:04:24] 	8.390	+0.260	+3.2	134	8.390	8.400	36	8.420	8.150
[15:05:36] 	8.400	+0.270	+3.3	132	8.390	8.400	50	8.420	8.150
[15:06:43] 	8.390	+0.260	+3.2	132	8.390	8.400	69	8.420	8.150
[15:07:47] 	8.400	+0.270	+3.3	125	8.390	8.400	73	8.420	8.150
[15:09:09] 	8.400	+0.270	+3.3	119	8.390	8.400	78	8.420	8.150
[15:10:32] 	8.400	+0.270	+3.3	126	8.390	8.400	102	8.420	8.150
[15:11:44] 	8.400	+0.270	+3.3	140	8.390	8.400	126	8.420	8.150
[15:12:50] 	8.400	+0.270	+3.3	140	8.390	8.400	129	8.420	8.150
[15:13:58] 	8.390	+0.260	+3.2	89	8.390	8.400	109	8.420	8.150
[15:15:08] 	8.390	+0.260	+3.2	82	8.390	8.400	108	8.420	8.150
[15:16:19] 	8.390	+0.260	+3.2	48	8.390	8.400	133	8.420	8.150
[15:16:51] 	8.390	+0.260	+3.2	43	8.390	8.400	140	8.420	8.150
[15:18:59] 	8.390	+0.260	+3.2	71	8.380	8.390	30	8.420	8.150
[15:20:22] 	8.390	+0.260	+3.2	81	8.380	8.390	38	8.420	8.150
[15:21:26] 	8.390	+0.260	+3.2	79	8.380	8.390	38	8.420	8.150
[15:22:25] 	8.390	+0.260	+3.2	73	8.380	8.390	39	8.420	8.150
[15:23:36] 	8.390	+0.260	+3.2	66	8.380	8.390	41	8.420	8.150
[15:24:39] 	8.390	+0.260	+3.2	64	8.380	8.390	41	8.420	8.150
[15:25:53] 	8.390	+0.260	+3.2	73	8.380	8.390	42	8.420	8.150
[15:27:08] 	8.390	+0.260	+3.2	40	8.390	8.400	156	8.420	8.150
[15:28:11] 	8.390	+0.260	+3.2	58	8.380	8.390	22	8.420	8.150
[15:29:15] 	8.390	+0.260	+3.2	61	8.380	8.390	25	8.420	8.150
[15:30:28] 	8.380	+0.250	+3.1	45	8.380	8.390	43	8.420	8.150
[15:31:31] 	8.390	+0.260	+3.2	37	8.380	8.390	40	8.420	8.150
[15:32:41] 	8.380	+0.250	+3.1	40	8.380	8.390	49	8.420	8.150
[15:33:50] 	8.390	+0.260	+3.2	42	8.380	8.390	49	8.420	8.150
