Time		Price	Change	C%	BVol	Buy	Sell	SVol	LP	HP
[09:55:48] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[14:19:00] 	2.640	-0.100	-3.6	296	2.630	2.640	247	2.770	2.590
[14:20:06] 	2.640	-0.100	-3.6	285	2.630	2.640	455	2.770	2.590
[14:22:24] 	2.630	-0.110	-4.0	307	2.630	2.640	466	2.770	2.590
[14:23:44] 	2.640	-0.100	-3.6	302	2.630	2.640	462	2.770	2.590
[14:24:51] 	2.630	-0.110	-4.0	183	2.620	2.630	102	2.770	2.590
[14:26:09] 	2.630	-0.110	-4.0	233	2.620	2.630	80	2.770	2.590
[14:27:32] 	2.620	-0.120	-4.4	237	2.620	2.630	84	2.770	2.590
[14:28:39] 	2.630	-0.110	-4.0	239	2.620	2.630	84	2.770	2.590
[14:29:58] 	2.620	-0.120	-4.4	290	2.620	2.630	91	2.770	2.590
[14:31:18] 	2.630	-0.110	-4.0	184	2.630	2.640	631	2.770	2.590
[14:32:59] 	2.650	-0.090	-3.3	98	2.640	2.650	511	2.770	2.590
[14:34:04] 	2.640	-0.100	-3.6	174	2.640	2.650	190	2.770	2.590
[14:35:19] 	2.650	-0.090	-3.3	260	2.640	2.650	129	2.770	2.590
[14:36:49] 	2.660	-0.080	-2.9	92	2.650	2.660	123	2.770	2.590
[14:37:54] 	2.660	-0.080	-2.9	69	2.650	2.660	134	2.770	2.590
[14:39:08] 	2.650	-0.090	-3.3	97	2.650	2.660	147	2.770	2.590
[14:41:28] 	2.660	-0.080	-2.9	177	2.650	2.660	106	2.770	2.590
[14:42:04] 	2.660	-0.080	-2.9	179	2.650	2.660	131	2.770	2.590
[14:44:03] 	2.660	-0.080	-2.9	188	2.650	2.660	177	2.770	2.590
[14:45:09] 	2.660	-0.080	-2.9	185	2.650	2.660	175	2.770	2.590
[14:47:42] 	2.660	-0.080	-2.9	219	2.650	2.660	315	2.770	2.590
[14:48:53] 	2.650	-0.090	-3.3	118	2.640	2.650	119	2.770	2.590
[14:51:04] 	2.640	-0.100	-3.6	27	2.640	2.650	153	2.770	2.590
[14:52:17] 	2.640	-0.100	-3.6	152	2.640	2.650	147	2.770	2.590
[14:53:21] 	2.650	-0.090	-3.3	163	2.640	2.650	150	2.770	2.590
[14:54:38] 	2.650	-0.090	-3.3	166	2.640	2.650	155	2.770	2.590
[14:55:48] 	2.650	-0.090	-3.3	229	2.640	2.650	161	2.770	2.590
[14:56:52] 	2.640	-0.100	-3.6	197	2.640	2.650	340	2.770	2.590
[14:57:57] 	2.640	-0.100	-3.6	182	2.640	2.650	342	2.770	2.590
[15:00:00] 	2.640	-0.100	-3.6	176	2.640	2.650	342	2.770	2.590
[15:01:04] 	2.630	-0.110	-4.0	423	2.630	2.640	235	2.770	2.590
[15:02:09] 	2.630	-0.110	-4.0	429	2.630	2.640	266	2.770	2.590
[15:05:09] 	2.640	-0.100	-3.6	344	2.640	2.650	336	2.770	2.590
[15:06:31] 	2.640	-0.100	-3.6	362	2.640	2.650	326	2.770	2.590
[15:08:00] 	2.640	-0.100	-3.6	338	2.640	2.650	322	2.770	2.590
[15:09:04] 	2.640	-0.100	-3.6	371	2.640	2.650	321	2.770	2.590
[15:10:17] 	2.650	-0.090	-3.3	205	2.650	2.660	365	2.770	2.590
