Time		Price	Change	C%	BVol	Buy	Sell	SVol	LP	HP
[10:32:59] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[13:47:31] 	1.370	-0.060	-4.2	1	1.440	1.340	44	1.400	1.350
[13:49:40] 	1.370	-0.060	-4.2	1	1.440	1.340	40	1.400	1.350
[13:50:12] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[13:50:56] 	1.370	-0.060	-4.2	1	1.440	1.340	40	1.400	1.350
[13:51:59] 	1.370	-0.060	-4.2	1	1.440	1.340	22	1.400	1.350
[13:57:31] 	1.370	-0.060	-4.2	1	1.440	1.340	17	1.400	1.350
[13:59:46] 	1.380	-0.050	-3.5	238	1.370	1.380	10	1.400	1.350
[14:00:51] 	1.370	-0.060	-4.2	229	1.370	1.380	9	1.400	1.350
[14:03:04] 	1.380	-0.050	-3.5	228	1.370	1.380	18	1.400	1.350
[14:04:29] 	1.380	-0.050	-3.5	234	1.370	1.380	45	1.400	1.350
[14:05:33] 	1.380	-0.050	-3.5	244	1.370	1.380	19	1.400	1.350
[14:08:15] 	1.380	-0.050	-3.5	235	1.370	1.380	5	1.400	1.350
[14:09:25] 	1.380	-0.050	-3.5	238	1.370	1.380	91	1.400	1.350
[14:10:33] 	1.380	-0.050	-3.5	239	1.370	1.380	92	1.400	1.350
[14:11:39] 	1.380	-0.050	-3.5	259	1.370	1.380	92	1.400	1.350
[14:12:42] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[14:13:23] 	1.380	-0.050	-3.5	268	1.370	1.380	86	1.400	1.350
[14:14:31] 	1.380	-0.050	-3.5	268	1.370	1.380	85	1.400	1.350
[14:15:39] 	1.380	-0.050	-3.5	275	1.370	1.380	85	1.400	1.350
[14:16:46] 	1.380	-0.050	-3.5	275	1.370	1.380	102	1.400	1.350
[14:19:07] 	1.370	-0.060	-4.2	277	1.370	1.380	99	1.400	1.350
[14:20:14] 	1.370	-0.060	-4.2	276	1.370	1.380	99	1.400	1.350
[14:21:18] 	1.370	-0.060	-4.2	281	1.370	1.380	101	1.400	1.350
[14:22:34] 	1.380	-0.050	-3.5	280	1.370	1.380	100	1.400	1.350
[14:23:45] 	1.380	-0.050	-3.5	277	1.370	1.380	100	1.400	1.350
[14:24:50] 	1.380	-0.050	-3.5	280	1.370	1.380	100	1.400	1.350
[14:25:52] 	1.380	-0.050	-3.5	285	1.370	1.380	100	1.400	1.350
[14:26:54] 	1.380	-0.050	-3.5	286	1.370	1.380	95	1.400	1.350
[14:27:56] 	1.380	-0.050	-3.5	287	1.370	1.380	95	1.400	1.350
[14:29:19] 	1.380	-0.050	-3.5	290	1.370	1.380	95	1.400	1.350
[14:30:27] 	1.370	-0.060	-4.2	303	1.370	1.380	87	1.400	1.350
[14:31:30] 	1.380	-0.050	-3.5	295	1.370	1.380	86	1.400	1.350
[14:32:37] 	1.370	-0.060	-4.2	319	1.370	1.380	119	1.400	1.350
[14:33:50] 	1.380	-0.050	-3.5	318	1.370	1.380	134	1.400	1.350
[14:35:47] 	1.380	-0.050	-3.5	318	1.370	1.380	137	1.400	1.350
[14:36:51] 	1.380	-0.050	-3.5	315	1.370	1.380	137	1.400	1.350
[14:37:24] 	1.380	-0.050	-3.5	318	1.370	1.380	137	1.400	1.350
[14:38:31] 	1.380	-0.050	-3.5	319	1.370	1.380	152	1.400	1.350
[14:39:34] 	1.380	-0.050	-3.5	319	1.370	1.380	177	1.400	1.350
[14:40:37] 	1.380	-0.050	-3.5	319	1.370	1.380	217	1.400	1.350
[14:41:40] 	1.380	-0.050	-3.5	271	1.370	1.380	227	1.400	1.350
[14:42:43] 	1.380	-0.050	-3.5	270	1.370	1.380	258	1.400	1.350
[14:43:24] 	1.370	-0.060	-4.2	261	1.370	1.380	258	1.400	1.350
[14:45:36] 	1.380	-0.050	-3.5	302	1.370	1.380	247	1.400	1.350
[14:46:39] 	1.380	-0.050	-3.5	303	1.370	1.380	247	1.400	1.350
[14:47:46] 	1.380	-0.050	-3.5	309	1.370	1.380	248	1.400	1.350
[14:48:18] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[14:48:46] 	1.380	-0.050	-3.5	313	1.370	1.380	248	1.400	1.350
[14:49:08] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[14:50:03] 	1.380	-0.050	-3.5	253	1.370	1.380	239	1.400	1.350
[14:50:30] 	1.380	-0.050	-3.5	313	1.370	1.380	239	1.400	1.350
[14:51:44] 	1.380	-0.050	-3.5	316	1.370	1.380	238	1.400	1.350
[14:52:40] 	1.380	-0.050	-3.5	262	1.370	1.380	237	1.400	1.350
[14:53:49] 	1.380	-0.050	-3.5	319	1.370	1.380	237	1.400	1.350
[14:54:49] 	1.380	-0.050	-3.5	321	1.370	1.380	337	1.400	1.350
[14:55:43] 	1.380	-0.050	-3.5	322	1.370	1.380	337	1.400	1.350
[14:56:45] 	1.380	-0.050	-3.5	357	1.370	1.380	279	1.400	1.350
[14:57:51] 	1.380	-0.050	-3.5	369	1.370	1.380	279	1.400	1.350
[14:58:53] 	1.380	-0.050	-3.5	70	1.380	1.390	193	1.400	1.350
[14:59:35] 	1.390	-0.040	-2.8	78	1.380	1.390	192	1.400	1.350
[15:00:48] 	1.380	-0.050	-3.5	33	1.380	1.390	188	1.400	1.350
[15:01:58] 	1.390	-0.040	-2.8	38	1.380	1.390	197	1.400	1.350
[15:03:02] 	1.390	-0.040	-2.8	89	1.380	1.390	197	1.400	1.350
[15:04:04] 	1.390	-0.040	-2.8	85	1.380	1.390	197	1.400	1.350
[15:05:16] 	1.390	-0.040	-2.8	150	1.380	1.390	198	1.400	1.350
[15:06:40] 	1.390	-0.040	-2.8	154	1.380	1.390	200	1.400	1.350
[15:07:46] 	1.390	-0.040	-2.8	129	1.380	1.390	100	1.400	1.350
[15:08:57] 	1.390	-0.040	-2.8	134	1.380	1.390	101	1.400	1.350
[15:09:59] 	1.390	-0.040	-2.8	134	1.380	1.390	102	1.400	1.350
[15:11:08] 	1.380	-0.050	-3.5	131	1.380	1.390	122	1.400	1.350
[15:12:14] 	1.380	-0.050	-3.5	101	1.380	1.390	125	1.400	1.350
[15:13:27] 	1.380	-0.050	-3.5	100	1.380	1.390	125	1.400	1.350
[15:14:30] 	1.380	-0.050	-3.5	68	1.380	1.390	125	1.400	1.350
[15:15:33] 	1.380	-0.050	-3.5	73	1.380	1.390	125	1.400	1.350
[15:16:40] 	1.380	-0.050	-3.5	105	1.380	1.390	125	1.400	1.350
[15:17:44] 	1.380	-0.050	-3.5	86	1.380	1.390	165	1.400	1.350
[15:18:59] 	1.380	-0.050	-3.5	92	1.380	1.390	165	1.400	1.350
[15:20:01] 	1.380	-0.050	-3.5	91	1.380	1.390	165	1.400	1.350
[15:21:04] 	1.380	-0.050	-3.5	47	1.380	1.390	167	1.400	1.350
[15:22:08] 	1.380	-0.050	-3.5	46	1.380	1.390	167	1.400	1.350
[15:23:31] 	1.380	-0.050	-3.5	50	1.380	1.390	172	1.400	1.350
[15:25:42] 	1.380	-0.050	-3.5	88	1.380	1.390	172	1.400	1.350
[15:26:39] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[15:27:11] 	1.380	-0.050	-3.5	51	1.380	1.390	172	1.400	1.350
[15:27:42] 	1.390	-0.040	-2.8	50	1.380	1.390	171	1.400	1.350
[15:28:48] 	1.380	-0.050	-3.5	46	1.380	1.390	171	1.400	1.350
[15:29:19] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[15:29:55] 	1.380	-0.050	-3.5	46	1.380	1.390	171	1.400	1.350
[15:30:27] 	1.380	-0.050	-3.5	81	1.380	1.390	170	1.400	1.350
[15:31:29] 	1.380	-0.050	-3.5	43	1.380	1.390	170	1.400	1.350
[15:32:32] 	1.380	-0.050	-3.5	81	1.380	1.390	173	1.400	1.350
[15:33:36] 	1.380	-0.050	-3.5	43	1.380	1.390	173	1.400	1.350
[15:34:41] 	1.380	-0.050	-3.5	100	1.380	1.390	174	1.400	1.350
[15:35:12] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[15:35:49] 	1.390	-0.040	-2.8	102	1.380	1.390	167	1.400	1.350
[15:37:07] 	1.380	-0.050	-3.5	43	1.380	1.390	174	1.400	1.350
[15:37:41] 	1.380	-0.050	-3.5	27	1.380	1.390	173	1.400	1.350
[15:38:46] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[15:40:04] 	1.380	-0.050	-3.5	319	1.370	1.380	46	1.400	1.350
[15:41:11] 	1.380	-0.050	-3.5	340	1.370	1.380	66	1.400	1.350
[15:42:19] 	1.380	-0.050	-3.5	348	1.370	1.380	68	1.400	1.350
[15:42:58] 	1.380	-0.050	-3.5	294	1.370	1.380	69	1.400	1.350
[15:43:29] 	1.380	-0.050	-3.5	295	1.370	1.380	69	1.400	1.350
[15:44:34] 	1.380	-0.050	-3.5	251	1.370	1.380	66	1.400	1.350
[15:45:46] 	1.380	-0.050	-3.5	294	1.370	1.380	72	1.400	1.350
[15:46:43] 	1.370	-0.060	-4.2	241	1.370	1.380	72	1.400	1.350
[15:48:27] 	1.370	-0.060	-4.2	240	1.370	1.380	72	1.400	1.350
[15:49:34] 	1.370	-0.060	-4.2	240	1.370	1.380	82	1.400	1.350
[15:51:26] 	1.370	-0.060	-4.2	208	1.370	1.380	67	1.400	1.350
[15:52:39] 	1.370	-0.060	-4.2	225	1.370	1.380	67	1.400	1.350
[15:55:06] 	1.370	-0.060	-4.2	225	1.370	1.380	71	1.400	1.350
[15:56:23] 	1.380	-0.050	-3.5	229	1.370	1.380	75	1.400	1.350
[15:57:32] 	1.380	-0.050	-3.5	229	1.370	1.380	99	1.400	1.350
[16:00:26] 	1.380	-0.050	-3.5	230	1.370	1.380	111	1.400	1.350
[16:01:33] 	1.380	-0.050	-3.5	231	1.370	1.380	113	1.400	1.350
[16:02:40] 	1.380	-0.050	-3.5	272	1.370	1.380	113	1.400	1.350
[16:03:43] 	1.380	-0.050	-3.5	231	1.370	1.380	113	1.400	1.350
[16:04:46] 	1.380	-0.050	-3.5	241	1.370	1.380	113	1.400	1.350
[16:05:48] 	1.380	-0.050	-3.5	242	1.370	1.380	112	1.400	1.350
[16:06:40] 	1.380	-0.050	-3.5	282	1.370	1.380	111	1.400	1.350
[16:07:53] 	1.380	-0.050	-3.5	281	1.370	1.380	118	1.400	1.350
[16:09:08] 	1.370	-0.060	-4.2	282	1.370	1.380	119	1.400	1.350
[16:10:11] 	1.370	-0.060	-4.2	240	1.370	1.380	119	1.400	1.350
[16:14:46] 	1.380	-0.050	-3.5	239	1.370	1.380	118	1.400	1.350
[16:15:49] 	1.380	-0.050	-3.5	239	1.370	1.380	120	1.400	1.350
[16:16:55] 	1.380	-0.050	-3.5	240	1.370	1.380	120	1.400	1.350
[16:20:16] 	1.380	-0.050	-3.5	240	1.370	1.380	140	1.400	1.350
[16:21:29] 	1.370	-0.060	-4.2	237	1.370	1.380	138	1.400	1.350
[16:22:37] 	1.380	-0.050	-3.5	280	1.370	1.380	157	1.400	1.350
[16:24:16] 	1.370	-0.060	-4.2	280	1.370	1.380	5	1.400	1.350
[16:25:24] 	1.380	-0.050	-3.5	34	1.380	1.390	199	1.400	1.350
[16:26:49] 	1.380	-0.050	-3.5	35	1.380	1.390	199	1.400	1.350
